,ell,TT_out,EE_out,BB_out,TT_in,EE_in,BB_in,wl_TT,wl_EE,wl_BB
179,181,0.0007800227190281233,1.2547308696803708e-07,2.5753453806217253e-11,0.0007979173881741607,1.283648127955104e-07,2.334853010099629e-11,0.02901532386529202,0.029028078033189745,0.029028078033189745
180,182,0.0006673909327186436,1.0870291263891625e-07,2.6179637118848736e-11,0.000683071022543723,1.1135319995353138e-07,2.3775297299005e-11,0.027890100243968912,0.027902359801120415,0.027902359801120415
181,183,0.0006721510371079289,9.64951122451263e-08,2.1765208885669535e-11,0.0006885181363546809,9.886287215027832e-08,1.9868722608723276e-11,0.02680262303570527,0.026814404574173833,0.026814404574173833
182,184,0.0006201776151588357,9.323885174483372e-08,1.841349597165586e-11,0.000635798372536795,9.559940959783482e-08,1.632954953859575e-11,0.025751888995628025,0.02576320866648397,0.02576320866648397
183,185,0.000534712360081298,7.910321153972442e-08,1.9969166381243295e-11,0.0005486273598480669,8.115592304143477e-08,1.7079030928715433e-11,0.024736910359081127,0.024747783879206404,0.024747783879206404
184,186,0.0005072027999402286,6.752135275638823e-08,1.611648584641113e-11,0.000520913678038172,6.939674064868579e-08,1.4322478698651059e-11,0.023756715085719377,0.02376715774471944,0.02376715774471944
185,187,0.00045201341777505774,6.050232236799554e-08,1.3394942527052386e-11,0.0004647471626774275,6.218988091975426e-08,1.188061028027407e-11,0.022810347077077513,0.022820373744288847,0.022820373744288847
186,188,0.0003997975483307092,6.166560477804449e-08,1.3058435034086576e-11,0.0004112558876954188,6.348495164129722e-08,1.2537044055355404e-11,0.021896866368378818,0.021906491499960767,0.021906491499960767
187,189,0.0003966274566049347,5.137772298240243e-08,1.327967222487978e-11,0.00040839045544745624,5.284558991799789e-08,1.0979064887243927e-11,0.02101534929535609,0.021024586941456015,0.021024586941456015
188,190,0.00036802263053589977,5.030635835562213e-08,1.0781129483624333e-11,0.0003791127691026051,5.185203609021355e-08,9.413573393385671e-12,0.02016488863686472,0.020173752448845846,0.020173752448845846
189,191,0.0003258047612470512,3.958012330798583e-08,8.463501812176568e-12,0.0003361070248043389,4.083927715562557e-08,7.538998375806674e-12,0.019344593734073202,0.019353096971794864,0.019353096971794864
190,192,0.0002829091277575914,3.776680480599874e-08,8.49628953705361e-12,0.0002921419545664673,3.8952665501488114e-08,6.902497250904158e-12,0.018553590587019775,0.018561746126160097,0.018561746126160097
191,193,0.00023810067198649256,3.025458036529351e-08,8.274674706364167e-12,0.0002462471198804584,3.129764055767984e-08,7.0915633378999326e-12,0.01779102192932659,0.017798842268738003,0.017798842268738003
192,194,0.00025038671348389513,2.8357334416646227e-08,7.1925678035436925e-12,0.00025921483770752484,2.9403004952561156e-08,6.221157794682815e-12,0.017056047281863163,0.017063544550951534,0.017063544550951534
193,195,0.0002342186184544097,2.603364945284869e-08,6.2975811029992355e-12,0.00024274094043416492,2.7003935316419144e-08,5.229060493130187e-12,0.016347842986150822,0.016355028952269243,0.016355028952269243
